schema_version,run_id,suite,grammar_id,parser,case_id,metric,value
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n031,cached_endpoints,13733
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n031,memo_entries,993
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n031,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n031,representative_tree_nodes,427428
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n031,successful_ends,31
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n033,cached_endpoints,2274
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n033,memo_entries,1717
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n033,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n033,representative_tree_nodes,33334
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n033,successful_ends,33
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n035,cached_endpoints,2552
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n035,memo_entries,1926
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n035,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n035,representative_tree_nodes,39123
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n035,successful_ends,35
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n033,cached_endpoints,16608
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n033,memo_entries,1123
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n033,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n033,representative_tree_nodes,550170
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n033,successful_ends,33
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n037,cached_endpoints,2846
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n037,memo_entries,2147
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n037,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n037,representative_tree_nodes,45540
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n037,successful_ends,37
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n035,cached_endpoints,19859
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n035,memo_entries,1261
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n035,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n035,representative_tree_nodes,697460
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n035,successful_ends,35
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n039,cached_endpoints,3156
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n039,memo_entries,2380
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n039,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n039,representative_tree_nodes,52617
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n039,successful_ends,39
